Frame,Timestamp
280,1745513402.39584
281,1745513402.41852
282,1745513402.43455
283,1745513402.45016
284,1745513402.46247
285,1745513402.47395
286,1745513402.48851
287,1745513402.49976
288,1745513402.51252
289,1745513402.53074
290,1745513402.54523
291,1745513402.56351
292,1745513402.57569
293,1745513402.59617
294,1745513402.60861
295,1745513402.62828
296,1745513402.6465
297,1745513402.66876
298,1745513402.6887
299,1745513402.70342
300,1745513402.71646
301,1745513402.73096
302,1745513402.76142
303,1745513402.78269
304,1745513402.80389
305,1745513402.83233
306,1745513402.85448
307,1745513402.87183
308,1745513402.88775
309,1745513402.9015
310,1745513402.91455
311,1745513402.92692
312,1745513402.93809
313,1745513402.94917
314,1745513402.96136
315,1745513402.97225
316,1745513402.98416
317,1745513402.99743
318,1745513403.02898
319,1745513403.05389
